{'reverb_fileid_72.wav': '2.9270026683807373'}
{'reverb_fileid_73.wav': '3.54524302482605'}
{'reverb_fileid_74.wav': '3.526930570602417'}
{'reverb_fileid_75.wav': '3.079496145248413'}
{'reverb_fileid_76.wav': '2.805854082107544'}
{'reverb_fileid_77.wav': '3.346991539001465'}
{'reverb_fileid_78.wav': '3.3314692974090576'}
{'reverb_fileid_79.wav': '3.1517527103424072'}
{'reverb_fileid_8.wav': '3.1391124725341797'}
{'reverb_fileid_80.wav': '2.9156923294067383'}
{'reverb_fileid_81.wav': '3.4271790981292725'}
{'reverb_fileid_82.wav': '2.951368808746338'}
{'reverb_fileid_83.wav': '2.8336904048919678'}
{'reverb_fileid_84.wav': '3.4332265853881836'}
{'reverb_fileid_85.wav': '3.8093690872192383'}
{'reverb_fileid_86.wav': '3.0379600524902344'}
{'reverb_fileid_87.wav': '3.4510576725006104'}
{'reverb_fileid_88.wav': '3.267727851867676'}
{'reverb_fileid_89.wav': '2.8736321926116943'}
{'reverb_fileid_9.wav': '3.564495086669922'}
{'reverb_fileid_90.wav': '2.7691519260406494'}
{'reverb_fileid_91.wav': '3.202408790588379'}
{'reverb_fileid_92.wav': '3.052039623260498'}
{'reverb_fileid_93.wav': '3.569949150085449'}
{'reverb_fileid_94.wav': '3.339853525161743'}
{'reverb_fileid_95.wav': '3.1870603561401367'}
{'reverb_fileid_96.wav': '3.3531289100646973'}
{'reverb_fileid_97.wav': '3.223996877670288'}
{'reverb_fileid_98.wav': '3.2223310470581055'}
{'reverb_fileid_99.wav': '3.4847192764282227'}
avg:3.2749498589833577
