{'realrec_fileid_206.wav': '3.1166610717773438'}
{'realrec_fileid_207.wav': '3.0905885696411133'}
{'realrec_fileid_208.wav': '3.5857419967651367'}
{'realrec_fileid_209.wav': '3.83915638923645'}
{'realrec_fileid_21.wav': '3.7429113388061523'}
{'realrec_fileid_210.wav': '3.889616012573242'}
{'realrec_fileid_211.wav': '3.0533347129821777'}
{'realrec_fileid_212.wav': '3.0635478496551514'}
{'realrec_fileid_213.wav': '3.3842079639434814'}
{'realrec_fileid_214.wav': '3.166788101196289'}
{'realrec_fileid_215.wav': '3.6783432960510254'}
{'realrec_fileid_216.wav': '3.9106013774871826'}
{'realrec_fileid_217.wav': '3.697309732437134'}
{'realrec_fileid_218.wav': '3.4559786319732666'}
{'realrec_fileid_219.wav': '3.7291295528411865'}
{'realrec_fileid_22.wav': '3.8342437744140625'}
{'realrec_fileid_220.wav': '3.617933750152588'}
{'realrec_fileid_221.wav': '3.708772897720337'}
{'realrec_fileid_222.wav': '3.3349146842956543'}
{'realrec_fileid_223.wav': '3.9436898231506348'}
{'realrec_fileid_224.wav': '3.2009785175323486'}
{'realrec_fileid_225.wav': '3.803215742111206'}
{'realrec_fileid_226.wav': '3.7346441745758057'}
{'realrec_fileid_227.wav': '3.9203755855560303'}
{'realrec_fileid_228.wav': '3.4907898902893066'}
{'realrec_fileid_229.wav': '3.342015266418457'}
{'realrec_fileid_23.wav': '3.8346786499023438'}
{'realrec_fileid_230.wav': '3.666264772415161'}
{'realrec_fileid_231.wav': '4.01111364364624'}
{'realrec_fileid_232.wav': '2.800720691680908'}
{'realrec_fileid_233.wav': '3.054469585418701'}
{'realrec_fileid_234.wav': '3.0925235748291016'}
{'realrec_fileid_235.wav': '2.8543167114257812'}
{'realrec_fileid_236.wav': '3.0409412384033203'}
{'realrec_fileid_237.wav': '2.818272113800049'}
{'realrec_fileid_238.wav': '3.67567777633667'}
{'realrec_fileid_239.wav': '3.6414074897766113'}
{'realrec_fileid_24.wav': '3.479611396789551'}
{'realrec_fileid_240.wav': '3.638819456100464'}
{'realrec_fileid_241.wav': '4.003935813903809'}
{'realrec_fileid_242.wav': '4.037689208984375'}
{'realrec_fileid_243.wav': '3.7009410858154297'}
{'realrec_fileid_244.wav': '3.8530080318450928'}
{'realrec_fileid_245.wav': '3.6875927448272705'}
{'realrec_fileid_246.wav': '3.5989551544189453'}
{'realrec_fileid_247.wav': '3.4363226890563965'}
{'realrec_fileid_248.wav': '3.800496816635132'}
{'realrec_fileid_249.wav': '3.4253902435302734'}
